股票代码,盈亏,开仓日期,开仓时间,平仓日期,平仓时间,开仓价格,平仓价格,价差,数量,资金占用,收益（含手续费）,手续费,10500000,
SSE.601088,平多收益,2021-2-3,0:00:00,2021-2-19,0:00:00,16.77,18.11,1.34,178,298506,23852,425.51,11782354,
SSE.600887,平多收益,2021-2-3,0:00:00,2021-2-8,0:00:00,43.28,45.72,2.44,69,298632,16836,416.42,11799190,
SSE.600887,平多止损,2021-3-4,0:00:00,2021-3-18,0:00:00,41.5,40.15,-1.35,72,298800,-9720,381.59,11789470,
SSE.600585,平多收益,2021-1-28,0:00:00,2021-2-18,0:00:00,50.8,51.95,1.15,59,299720,6785,404.59,11796255,
SSE.600519,平多止损,2021-2-24,0:00:00,2021-3-10,0:00:00,2189,1970.01,-218.99,1,218900,-21899,260.04,11774356,
SSE.600436,平多止损,2021-2-24,0:00:00,2021-3-10,0:00:00,318.01,256.76,-61.25,9,286209,-55125,305.03,11719231,
SSE.600276,平多止损,2021-3-8,0:00:00,2021-3-22,0:00:00,92.12,88.11,-4.01,32,294784,-12832,372.18,11706399,
SSE.600048,平多收益,2021-1-28,0:00:00,2021-2-18,0:00:00,14.05,14.36,0.31,213,299265,6603,403.75,11713002,
SSE.600036,平多收益,2021-3-9,0:00:00,2021-3-11,0:00:00,48.5,51.97,3.47,61,295850,21167,418.46,11734169,
SSE.600031,平多收益,2021-2-26,0:00:00,2021-3-1,0:00:00,41.11,44.25,3.14,72,295992,22608,420.55,11756777,
SSE.600031,平多止损,2021-3-4,0:00:00,2021-3-18,0:00:00,40.99,37,-3.99,73,299227,-29127,356.53,11727650,
SZSE.300498,平多止损,2021-4-27,0:00:00,2021-5-14,0:00:00,14.21,14.13,-0.08,211,299831,-1688,393.55,11725962,
SZSE.300122,平多止损,2021-5-21,0:00:00,2021-6-4,0:00:00,198.05,177.59,-20.46,15,297075,-30690,351.63,11695272,
SZSE.300059,平多止损,2021-5-27,0:00:00,2021-6-10,0:00:00,31.42,31.29,-0.13,95,298490,-1235,392.38,11694037,
SZSE.002594,平多收益,2021-4-30,0:00:00,2021-5-19,0:00:00,158.57,172.78,14.21,18,285426,25578,410.53,11719615,
SZSE.002475,平多收益,2021-5-10,0:00:00,2021-5-24,0:00:00,34.52,36.8,2.28,86,296872,19608,417.75,11739223,
SZSE.002352,平多止损,2021-4-9,0:00:00,2021-4-23,0:00:00,72.72,65.53,-7.19,41,298152,-29479,354.65,11709744,
SZSE.002027,平多收益,2021-4-13,0:00:00,2021-4-19,0:00:00,9.06,9.72,0.66,331,299886,21846,424.69,11731590,
SZSE.002027,平多止损,2021-6-3,0:00:00,2021-6-10,0:00:00,9.76,9.73,-0.03,307,299632,-921,394.3,11730669,
SZSE.000917,平多收益,2021-4-29,0:00:00,2021-5-11,0:00:00,4.86,5.3,0.44,617,299862,27148,431.65,11757817,
SZSE.000858,平多收益,2021-4-15,0:00:00,2021-4-21,0:00:00,255.8,270.85,15.05,11,281380,16555,393.27,11774372,
SZSE.000725,平多收益,2021-5-7,0:00:00,2021-5-21,0:00:00,6.61,6.63,0.02,453,299433,906,396.45,11775278,
SZSE.000568,平多收益,2021-5-10,0:00:00,2021-5-12,0:00:00,226.03,243.3,17.27,13,293839,22451,417.5,11797729,
SSE.603288,平多收益,2021-5-17,0:00:00,2021-5-31,0:00:00,136.45,137.26,0.81,21,286545,1701,380.48,11799430,
SSE.601888,平多收益,2021-4-12,0:00:00,2021-4-26,0:00:00,295.39,298.44,3.05,10,295390,3050,393.94,11802480,
SSE.601166,平多收益,2021-4-15,0:00:00,2021-4-21,0:00:00,20.85,22,1.15,143,298155,16445,415.27,11818925,
SSE.600887,平多收益,2021-5-10,0:00:00,2021-5-17,0:00:00,37.53,39.66,2.13,79,296487,16827,413.57,11835752,
SSE.600519,平多收益,2021-5-10,0:00:00,2021-5-12,0:00:00,1879.03,1984,104.97,1,187903,10497,261.89,11846249,
SSE.600276,平多收益,2021-4-15,0:00:00,2021-4-29,0:00:00,82.18,82.35,0.17,36,295848,612,391.33,11846861,
SSE.600276,平多止损,2021-6-10,0:00:00,2021-6-10,0:00:00,73,73,0,41,299300,0,395.08,11846861,
SSE.600031,平多收益,2021-4-12,0:00:00,2021-4-19,0:00:00,31.21,32.9,1.69,96,299616,16224,416.91,11863085,
SSE.600031,平多收益,2021-5-11,0:00:00,2021-5-25,0:00:00,29,29.8,0.8,103,298700,8240,405.16,11871325,
SZSE.300498,平多收益,2021-7-19,0:00:00,2021-8-2,0:00:00,12.8,13.29,0.49,234,299520,11466,410.5,11882791,
SZSE.300122,平多收益,2021-6-17,0:00:00,2021-6-28,0:00:00,178.9,187.85,8.95,16,286240,14320,396.74,11897111,
SZSE.300122,平多收益,2021-7-6,0:00:00,2021-7-8,0:00:00,172.01,182.05,10.04,17,292417,17068,408.52,11914179,
SZSE.300122,平多止损,2021-7-23,0:00:00,2021-8-6,0:00:00,171.1,170,-1.1,17,290870,-1870,381.48,11912309,
SZSE.300059,平多收益,2021-6-16,0:00:00,2021-6-21,0:00:00,28.83,30.62,1.79,104,299832,18616,420.35,11930925,
SZSE.300059,平多收益,2021-7-2,0:00:00,2021-7-9,0:00:00,29.72,31.49,1.77,100,297200,17700,415.67,11948625,
SZSE.300059,平多收益,2021-7-27,0:00:00,2021-8-2,0:00:00,30.98,33.03,2.05,96,297408,19680,418.56,11968305,
SZSE.002812,平多收益,2021-7-19,0:00:00,2021-7-20,0:00:00,237.5,258.12,20.62,12,285000,24744,408.86,11993049,
SZSE.002812,平多收益,2021-7-27,0:00:00,2021-7-29,0:00:00,245,263.33,18.33,12,294000,21996,417.11,12015045,
SZSE.002812,平多止损,2021-8-12,0:00:00,2021-8-12,0:00:00,259.26,259.26,0,11,285186,0,376.45,12015045,
SZSE.002594,平多收益,2021-7-15,0:00:00,2021-7-22,0:00:00,236.4,248.96,12.56,12,283680,15072,394.35,12030117,
SZSE.002475,平多止损,2021-7-13,0:00:00,2021-7-27,0:00:00,43.06,38.63,-4.43,69,297114,-30567,351.84,11999550,
SZSE.002475,平多收益,2021-7-28,0:00:00,2021-8-4,0:00:00,37.69,41.54,3.85,79,297751,30415,433.18,12029965,
SZSE.002352,平多止损,2021-6-15,0:00:00,2021-6-29,0:00:00,69.51,67.44,-2.07,43,298893,-8901,382.79,12021064,
SZSE.002352,平多止损,2021-7-5,0:00:00,2021-7-19,0:00:00,65.48,63.25,-2.23,45,294660,-10035,375.7,12011029,
SZSE.002352,平多止损,2021-7-21,0:00:00,2021-8-4,0:00:00,61.88,61.1,-0.78,48,297024,-3744,387.13,12007285,
SZSE.002027,平多收益,2021-6-15,0:00:00,2021-6-29,0:00:00,9.38,9.43,0.05,319,299222,1595,397.08,12008880,
SZSE.002027,平多止损,2021-7-5,0:00:00,2021-7-19,0:00:00,8.54,8.23,-0.31,351,299754,-10881,381.31,11997999,
SZSE.002027,平多收益,2021-7-27,0:00:00,2021-7-29,0:00:00,7.25,7.7,0.45,413,299425,18585,419.77,12016584,
